,Temp_out_BTES,Temp_into_BTES,,,,,
211,26.84626472,16.84626472, [ 1.26721977e+01],, [ 2.65210180e+10],,41.40771971
212,26.82044125,16.82044125, [ 1.26450815e+01],, [ 2.52170470e+10],,41.45117435
213,27.35855481,17.35855481, [ 1.26255259e+01],, [ 2.41998003e+10],,41.49829527
214,27.33158936,17.33158936, [ 1.25973633e+01],, [ 2.34661842e+10],,41.54099892
215,27.30680568,17.30680568, [ 1.25714345e+01],, [ 2.24096844e+10],,41.58470586
216,27.28224463,17.28224463, [ 1.25457797e+01],, [ 2.14369812e+10],,41.62843648
217,27.24809843,17.24809843, [ 1.25106102e+01],, [ 2.04745589e+10],,41.66729665
218,27.21054089,17.21054089, [ 1.24721066e+01],, [ 1.91551998e+10],,41.70437684
219,27.18392218,17.18392218, [ 1.24445969e+01],, [ 1.77107615e+10],,41.74684135
220,27.16759059,17.16759059, [ 1.24274088e+01],, [ 1.66787539e+10],,41.7943542
221,27.13444768,17.13444768, [ 1.23934773e+01],, [ 1.60339532e+10],,41.83338317
222,27.09515446,17.09515446, [ 1.23534757e+01],, [ 1.47610377e+10],,41.86926509
223,27.58357572,17.58357572, [ 1.22903778e+01],, [ 1.32604052e+10],,41.89348707
224,27.52496742,17.52496742, [ 1.22313060e+01],, [ 1.08933289e+10],,41.91961055
225,27.47292915,17.47292915, [ 1.21789092e+01],, [ 8.67728853e+09],,41.94896023
226,27.43270321,17.43270321, [ 1.21384059e+01],, [ 6.71165736e+09],,41.98414556
227,27.92161239,17.92161239, [ 1.20861989e+01],, [ 5.19220307e+09],,42.01336819
228,27.88345669,17.88345669, [ 1.20479471e+01],, [ 3.23369390e+09],,42.04945776
229,27.82937778,17.82937778, [ 1.19938805e+01],, [ 1.79870391e+09],,42.07752946
230,28.30113239,18.30113239, [ 1.19348459e+01],, [-2.30030182e+08],,42.10300702
231,28.23987192,18.23987192, [ 1.18738383e+01],, [-2.44956900e+09],,42.12738802
232,28.70821357,18.70821357, [ 1.18236199e+01],, [-4.74771474e+09],,42.15705388
233,28.67038189,18.67038189, [ 1.17862166e+01],, [-6.64488455e+09],,42.19301776
234,28.6485006,18.6485006, [ 1.17648067e+01],, [-8.06411452e+09],,42.23686896
235,28.6334655,18.6334655, [ 1.17502720e+01],, [-8.88497648e+09],,42.2840487
236,28.64349715,18.64349715, [ 1.17607831e+01],, [-9.44900816e+09],,42.34364239
237,28.65435973,18.65435973, [ 1.17721024e+01],, [-9.07267771e+09],,42.40353153
238,28.66324818,18.66324818, [ 1.17814288e+01],, [-8.66517528e+09],,42.4623158
239,28.63395539,18.63395539, [ 1.17526318e+01],, [-8.33173101e+09],,42.50193006
240,28.58283037,18.58283037, [ 1.17021037e+01],, [-9.43063054e+09],,42.53057081
241,29.0559793,19.0559793, [ 1.16663228e+01],, [-1.13485512e+10],,42.56647731
242,29.00199285,19.00199285, [ 1.16131117e+01],, [-1.27159344e+10],,42.59356111
243,28.9343051,18.9343051, [ 1.15463331e+01],, [-1.47411999e+10],,42.61375379
244,28.87169542,18.87169542, [ 1.14847560e+01],, [-1.72804606e+10],,42.63644005
245,28.82860196,18.82860196, [ 1.14427792e+01],, [-1.96292209e+10],,42.66881953
246,29.27894435,19.27894435, [ 1.13903895e+01],, [-2.12458429e+10],,42.69588584
247,29.20195734,19.20195734, [ 1.13147757e+01],, [-2.32570361e+10],,42.71123354
248,29.61580868,19.61580868, [ 1.12355091e+01],, [-2.61451521e+10],,42.72464857
249,29.5339346,19.5339346, [ 1.11553278e+01],, [-2.91762576e+10],,42.7375001
250,29.44380998,19.44380998, [ 1.10670728e+01],, [-3.22477087e+10],,42.74620891
251,29.84478326,19.84478326, [ 1.09820819e+01],, [-3.56286735e+10],,42.75644411
252,29.7719124,19.7719124, [ 1.09113926e+01],, [-3.88935764e+10],,42.77372466
253,29.72655405,19.72655405, [ 1.08683022e+01],, [-4.16272778e+10],,42.80469939
254,30.16959996,20.16959996, [ 1.08350169e+01],, [-4.33288660e+10],,42.84047166
255,30.57368412,20.57368412, [ 1.07741084e+01],, [-4.46651228e+10],,42.86232748
256,30.50667198,20.50667198, [ 1.07096821e+01],, [-4.70422254e+10],,42.88231976
257,30.46204277,20.46204277, [ 1.06677227e+01],, [-4.95561408e+10],,42.91344115
258,30.40900892,20.40900892, [ 1.06174595e+01],, [-5.12303755e+10],,42.94030637
259,30.32671147,20.32671147, [ 1.05380917e+01],, [-5.32199050e+10],,42.95251532
260,30.24182632,20.24182632, [ 1.04563002e+01],, [-5.63072387e+10],,42.9634086
261,30.17632195,20.17632195, [ 1.03940142e+01],, [-5.94916482e+10],,42.9839511
262,30.57452549,20.57452549, [ 1.03286952e+01],, [-6.19490007e+10],,43.0028737
263,30.5288269,20.5288269, [ 1.02864306e+01],, [-6.45250471e+10],,43.03322035
264,30.48132734,20.48132734, [ 1.02424532e+01],, [-6.62393992e+10],,43.06260762
265,30.87859301,20.87859301, [ 1.01849441e+01],, [-6.80213133e+10],,43.08512629
266,30.83090122,20.83090122, [ 1.01409778e+01],, [-7.03151841e+10],,43.11431383
267,30.78012172,20.78012172, [ 1.00940179e+01],, [-7.21043093e+10],,43.14190223
268,30.73031509,20.73031509, [ 1.00481228e+01],, [-7.40092683e+10],,43.16992091
269,30.65960369,20.65960369, [ 9.98145659e+00],, [-7.58777307e+10],,43.18745208
270,30.59409891,20.59409891, [ 9.92011991e+00],, [-7.85304215e+10],,43.20754629
271,30.53988496,20.53988496, [ 9.87017414e+00],, [-8.09877892e+10],,43.23323443
272,30.92491282,20.92491282, [ 9.80191670e+00],, [-8.30215893e+10],,43.24966541
273,30.85498409,20.85498409, [ 9.73652400e+00],, [-8.57474712e+10],,43.26742764
274,30.73061959,20.73061959, [ 9.61693518e+00],, [-8.83708004e+10],,43.2579909
275,30.61899041,20.61899041, [ 9.51029539e+00],, [-9.30362513e+10],,43.25492795
276,30.53060309,20.53060309, [ 9.42706425e+00],, [-9.72239450e+10],,43.26346882
277,30.43928093,20.43928093, [ 9.34107061e+00],, [-1.00539736e+11],,43.27052812
278,30.35747863,20.35747863, [ 9.26474978e+00],, [-1.03965626e+11],,43.28232371
279,30.27090931,20.27090931, [ 9.18382409e+00],, [-1.07034384e+11],,43.29171697
280,30.18152437,20.18152437, [ 9.10025028e+00],, [-1.10281974e+11],,43.29968645
281,30.07861373,20.07861373, [ 9.00334496e+00],, [-1.13635190e+11],,43.30089066
282,29.98902684,19.98902684, [ 8.91993055e+00],, [-1.17495814e+11],,43.30874102
283,30.39331535,20.39331535, [ 8.85713271e+00],, [-1.20856606e+11],,43.32680054
284,30.29207914,20.29207914, [ 8.76238472e+00],, [-1.23448703e+11],,43.32878608
285,30.19936682,20.19936682, [ 8.67633305e+00],, [-1.27246511e+11],,43.33502105
286,30.56403995,20.56403995, [ 8.57914275e+00],, [-1.30724551e+11],,43.33558819
287,30.45840697,20.45840697, [ 8.48056275e+00],, [-1.34627757e+11],,43.33536215
288,30.81832432,20.81832432, [ 8.38587380e+00],, [-1.38590508e+11],,43.33698351
289,30.70311267,20.70311267, [ 8.27812083e+00],, [-1.42414407e+11],,43.33197493
290,30.60127425,20.60127425, [ 8.18392985e+00],, [-1.46736494e+11],,43.3336496
291,30.48513799,20.48513799, [ 8.07565800e+00],, [-1.50556894e+11],,43.32818631
292,30.35967612,20.35967612, [ 7.95829574e+00],, [-1.54913668e+11],,43.31808046
293,30.7123524,20.7123524, [ 7.85417471e+00],, [-1.59620286e+11],,43.31449808
294,30.58601985,20.58601985, [ 7.73638648e+00],, [-1.63837996e+11],,43.30398513
295,30.4731538,20.4731538, [ 7.63227339e+00],, [-1.68577276e+11],,43.300213
296,30.3662872,20.3662872, [ 7.53435597e+00],, [-1.72811371e+11],,43.29944213
297,30.74467223,20.74467223, [ 7.45853666e+00],, [-1.76820400e+11],,43.30962395
298,30.65283667,20.65283667, [ 7.37596770e+00],, [-1.80006133e+11],,43.31633475
299,30.50427123,20.50427123, [ 7.23694746e+00],, [-1.83451282e+11],,43.29472393
300,30.81172502,20.81172502, [ 7.09154921e+00],, [-1.89024615e+11],,43.2698283
301,30.67127631,20.67127631, [ 6.96119830e+00],, [-1.94848145e+11],,43.25236073
